 ---------------------------
     Z     DZ     BUOY      
 ---------------------------
      10.7347       0.0000       0.0000
      40.2408       0.0000       0.0000
      82.5862       0.0000       0.0000
     136.1152       0.0146       0.0
     202.3848       0.0146       0.0
     281.3318       0.0146       0.0
     372.8680       0.0146       0.0
     476.9060       0.0146       0.0
     593.3369       0.0146       0.0
     722.0432       0.0146       0.0
     862.8900       0.0145       0.0
    1015.6724     152.7824       0.0000
    1180.1613     164.4889       0.0053
    1356.1611     175.9999       0.0258
    1543.4657     187.3045       0.0554
    1740.8403     197.3746       0.0802
    1945.2255     204.3851       0.0984
    2154.3137     209.0883       0.1154
    2368.1592     213.8455       0.1320
    2587.2332     219.0739       0.1481
    2811.6440     224.4110       0.1638
    3041.4980     229.8541       0.1789
    3276.9028     235.4049       0.1935
    3517.9656     241.0627       0.2074
    3764.7888     246.8231       0.2205
    4017.4839     252.6951       0.2329
    4276.1562     258.6721       0.2445
    4540.9097     264.7533       0.2551
    4811.8472     270.9373       0.2647
    5089.0679     277.2209       0.2732
    5372.6694     283.6017       0.2806
    5662.7451     290.0755       0.2866
    5959.3799     296.6349       0.2914
    6262.6577     303.2778       0.2947
    6572.6509     309.9933       0.2964
    6889.4219     316.7712       0.2964
    7213.0264     323.6044       0.2947
    7543.5029     330.4765       0.2911
    7880.8789     337.3762       0.2855
    8225.1680     344.2895       0.2778
    8576.3662     351.1982       0.2678
    8934.4570     358.0907       0.2553
    9299.4053     364.9485       0.2403
    9671.1670     371.7619       0.2226
   10049.6895     378.5226       0.2019
   10434.9160     385.2264       0.1782
   10826.7842     391.8678       0.1513
   11225.2363     398.4521       0.1210
   11630.2266     404.9906       0.0871
   12042.3906     412.1645       0.0341
   12464.7539     422.3633       0.0000
   12901.8027     437.0484       0.0000
   13361.9658     460.1633       0.0000
   13861.9473     499.9814       0.0000
   14427.2822     565.3347       0.0000
   15099.2363     671.9543       0.0000
   15952.7041     853.4682       0.0000
   17114.6582    1161.9547       0.0000
   18663.7148       0.0001       0.0000
   20954.2852       0.0001       0.0000
